CodigoPosto, NomePosto, MOD, Rendimento, Ciclo, Lote, UPH, UPPH, CAPHora, CAPTurno, Ociosidade, Ocupação, Local
L01L02LARL5204,Auto-BottomMylarSticking,1,97%,3.67,1,951.50,951.50,952.00,7952.00,5.69%,94.31%, SemDestino
L01L02LARL5205,DobraDaFitaInferior,2,97%,2.79,1,1032.26,516.13,1173.00,9795.00,23.43%,76.57%, SemDestino
L01L02LARL5206,Auto-LeftSideMylarSticking&Wrapping,1,97%,3.66,1,954.10,954.10,955.00,7974.00,5.94%,94.06%, SemDestino
L01L02LARL5207,Auto-RightMylarSticking&Wrapping,1,97%,3.70,1,943.78,943.78,945.00,7890.00,4.94%,95.06%, SemDestino
L01L02LARL5208,Auto-TopSealantMylarSticking,1,97%,3.52,1,992.05,992.05,992.00,8282.00,9.44%,90.56%, SemDestino
L01L02LARL5209,DobraDaFitaIntermediaria,2,97%,2.84,1,1014.08,507.04,1154.00,9639.00,22.19%,77.81%, SemDestino
L01L02LARL5210,Auto-CellTesting&Cutting&Flatting,1,97%,3.48,1,1003.45,1003.45,1004.00,8382.00,10.52%,89.48%, SemDestino
L01L02LARL5211,Pcm&Cell&LabelBarcodeLinking+Auto-LaserWelding,1,97%,3.51,1,994.87,994.87,997.00,8327.00,9.93%,90.07%, SemDestino
L01L02LARL5212,ColocaçãoDaPcm,1,97%,3.53,1,989.24,989.24,927.00,7741.00,3.12%,96.88%, SemDestino
L01L02LARL5213,Auto-WeldingVi&Auto-LShapeNiPlateBending,1,97%,3.68,1,948.91,948.91,949.00,7924.00,5.35%,94.65%, SemDestino
L01L02LARL5214,AplicaçãoDaFitaAdevisa,2,97%,3.59,1,802.23,401.11,911.00,7606.00,1.39%,98.61%, SemDestino
L01L02LARL5215,RetirarOLineDaFita,1,97%,3.49,1,825.21,825.21,937.00,7826.00,4.16%,95.84%, SemDestino
L01L02LARL5216,PcmFolder180,1,97%,3.55,1,983.66,983.66,984.00,8219.00,8.74%,91.26%, SemDestino
L01L02LARL5217,HeadMylarSticking&Wrapping,1,97%,3.59,1,972.70,972.70,974.00,8132.00,7.77%,92.23%, SemDestino
L01L02LARL5218,FpcBending,1,80%,3.42,1,842.11,842.11,958.00,7997.00,6.22%,93.78%, SemDestino
L01L02LARL5219,BarcodeLinking&PackLength&WidthHeadThickness&Aoi,1,97%,3.60,1,970.00,970.00,972.00,8114.00,7.56%,92.44%, SemDestino
L01L02LARL5220,FinalFunctionTest,1,97%,3.64,1,959.34,959.34,960.00,8020.00,6.48%,93.52%, SemDestino
L01L02LARL5221,AutoLeakageTest,1,97%,3.47,1,1006.34,1006.34,1006.00,8401.00,10.72%,89.28%, SemDestino
L01L02LARL5222,ConnectorPosition&AppearanceChecking,1,80%,3.62,1,795.58,795.58,904.00,7551.00,0.68%,99.32%, SemDestino
L01L02LARL5223,FinishedProductionVisualInspection,1,80%,3.25,1,886.15,886.15,1007.00,8406.00,10.78%,89.22%, SemDestino
